; ： ；
;a ！
tudy 土墩
tudz 土豆
tue 徒儿
tuei 挺身而出
tuer 徒儿
tuf 突发
tufa 突发
tufh 土方
tufu 屠夫
tufw 土匪
tug 图书馆
tugc 他山攻错
tugd 涂改
tuge 图个
tugo 听说过
tugr 图书馆
tugs 同生共死
tuh 秃
tuhc 土豪
tuhe 挺适合
tuhh 稌
tuhj 秃
tuhl 土黄
tuho 土货
tuhw 涂黑
tuhx 图画
tui 徒
tuig 屠城
tuij 土产
tuir 徒
tuiu 突出
tuiy 兔唇
tuj 钍
tuji 突击
tujk 途径
tujm 土建
tujp 图解
tujq 秃鹫 投鼠忌器
tujt 突厥
tuk 吐
tukd 唾手可得
tukh 土炕
tukt 吐
tuku 图库
tukz 吐口
tul 凸 太少了
tula 凸
tulc 徒劳
tule 吐了
tuli 图例
tulj 太上老君
tuln 涂料
tulq 徒留
tuls 屠龙
tulu 吐露
tulv 天生丽质
tum 𬳿
tumh 梌
tumi 荼蘼
tumj 涂满
tumm 凸面
tumo 涂抹
tumu 土木
tumz 图谋
tun 吐纳
tuna 吐纳
tuo 腯
tuoo 腯
tup 图片
tupi 土坯
tupm 图片
tupo 突破
tups 贪生怕死
tupu 图谱
tuq 突起
tuqi 突起
tuqk 特殊情况
tuql 图强
tur 突然
turh 土壤
turj 突然
turu 突入
tus 涂色
tusc 唐诗宋词
tuse 涂色
tusg 台上三分钟，台下十年功
tusi 土司
tusm 头上三尺有神明
tusy 徒孙
tut 堍
tutd 堍
tutg 图腾
tutj 吐痰
tutr 同是天涯沦落人
tutu 兔兔
tutv 土生土长
tutz 秃头
tuu 土
tuua 屠杀
tuuf 突审
tuuh 图上
tuui 图示
tuuo 屠
tuuu 图书
tuuy 烫手山芋
tuuz 徒手
tuv 途中
tuvh 图章
tuvi 图纸
tuvs 途中
tuvu 土著 他山之石
tuvy 他山之石，可以攻玉
tuw 㻬
tuwf 图文
tuwk 㻬
tuwl 投石问路
tuwu 突兀
tuww 突围
tuwy 天生我材必有用
tux 特殊性
tuxi 突袭 铁石心肠
tuxk 图形
tuxl 图像
tuxm 凸显
tuxn 提神醒脑
tuxp 吐血
tuxt 吐血
tuy 酴
tuya 涂鸦
tuyb 提示音
tuyd 天生一对
tuyh 图样
tuyi 太师椅
tuyj 涛声依旧
tuyk 秃鹰
tuyu 土语
tuyw 天生尤物
tuz 途
tuzd 屠宰
tuzg 徒增
tuzh 土葬
tuzi 兔子
tuzu 土族
tv 推 退
tvb 腿部
tvbd 颓败
tvbi 退避
tvbk 退兵
tvbm 蜕变
tvbq 停滞不前
tvbu 退步
tvc 推测
tvce 推测
tvci 推辞
tvd 推导
tvdc 推倒
tvdh 退党
tvdk 退订
tvdm 天诛地灭
tvdn 推掉
tvdr 推断
tvds 推动
tvdu 腿肚
tvdv 天知地知
tve 𬯎
tver 𬯎
tvf 退费
tvff 推
tvfh 退房
tvfj 推翻
tvfw 颓废
tvg 魋
tvge 退格
tvgf 魋
tvgj 同舟共济
tvgl 推广
tvgu 退股
tvh 颓
tvh/ 煺
tvho 退货
tvhr 退还 退换
tvhv 退回
tvhx 退化
tvhy 退婚
tvhz 退后
tvi 蜕
tvic 退潮
tvie 推车
tvih 退场
tvii 推迟
tvis 推崇
tviu 退出
tvj 天主教
tvjb 推进
tvji 推挤
tvjj 统治阶级
tvjm 推荐
tvjn 腿脚
tvjp 推介
tvjq 头重脚轻
tvju 推举
tvjw 添砖加瓦
tvjy 添枝加叶
tvjz 天之骄子
tvk 推开
tvkd 推开
tvkr 退款
tvl 偷着乐
tvla 推拉
tvle 退了
tvli 推理
tvlj 通知栏
tvlm 天真烂漫
tvlu 退路
tvlv 通胀率
tvly 推论
tvm 同志们
tvmf 涂脂抹粉
tvmi 颓靡
tvn 推拿
tvna 推拿
tvnq 头撞南墙
tvo 腿
tvoz 腿
tvp 褪
tvpi 蜕皮
tvpn 退票
tvpw 退赔
tvpz 褪
tvq 推敲
tvqb 退亲
tvqm 退钱
tvqn 推敲
tvqt 退却
tvqu 退去
tvqy 退群
tvr 退让
tvre 退热
tvrf 推人
tvrh 退让
tvrj 颓然
tvrl 同志仍需努力
tvrr 腿软
tvru 铁证如山
tvrv 听之任之
tvs 推送
tvse 褪色
tvsh 颓丧
tvso 退缩
tvsr 推算
tvss 推送
tvt 推脱
tvte 推特
tvth 颓唐
tvtk 退庭
tvto 推脱
tvu 通知书
tvuc 退烧
tvue 推射
tvuh 腿上
tvui 退市
tvuo 推说
tvuu 通知书
tvuv 退税
tvuz 推手
tvv 统治者
tvve 推着
tvvi 退职
tvvj 弹指之间
tvvy 题中之义
tvw 退伍
tvwu 退伍
tvww 推诿
tvwx 天真无邪
tvwy 天助我也
tvx 退休
tvxi 退席
tvxk 推行
tvxl 推向
tvxn 推销
tvxp 推卸
tvxq 退休
tvxr 推选
tvxt 退学
tvxu 推许
tvxx 退下
tvy 忒
tvyb 退隐
tvyi 退役
tvyj 推演 弹指一挥间
tvyt 投之以桃
tvyx 忒
tvyy 逃之夭夭
tvz 退
tvzg 退
tvzh 退赃
tvzi 推子
tvzu 退租
tw 台湾
twb 图文并茂
twbm 图文并茂
twd 台湾岛
twdc 台湾岛
twdl 天文地理
twe 天无二日
twer 天无二日
twf 天外飞仙
twfh 贪污腐化
twfx 天外飞仙
twg 叹为观止
twgv 叹为观止
twh 题外话
twhh 天网恢恢
twhx 题外话
twj 体温计
twji 体温计
twjl 天无绝人之路
twk 退无可退
twkt 退无可退
twl 太晚了
twle 太晚了
twlk 天外来客
twlp 天王老子都不怕
twlu 图瓦卢
twlz 天王老子
twn 天威难测
twnc 天威难测
twp 调味品
twpb 调味品
tws 同位素
twsu 同位素
twt 天文台
twtd 天文台
twu 台湾省
twug 台湾省
twuh 贪污受贿
twuz 天文数字
tww 体无完肤
twwf 体无完肤
twx 天文学
twxj 天文学家
twxt 天文学
twy 忒
twyt 天外有天
twyx 忒
tx 同学
txb 贪心不足
txbu 天下本无事
txbx 贪心不足蛇吞象
txbz 贪心不足
txc 天下苍生
txcu 天下苍生
txd 剃须刀
txdc 剃须刀
txdd 提心吊胆 通宵达旦
txdl 天下大乱
txdu 天下大事
txdv 天旋地转
txdy 天下第一
txf 谈笑风生
txfu 谈笑风生
txi 体现出
txiu 体现出
txj 退休金
txjb 退休金
txjf 啼笑皆非
txju 痛心疾首
txjx 痛下决心
txl 通讯录
txlb 袒胸露背
txle 太小了
txlm 同性恋
txlu 通讯录
txlv 同性恋者
txm 同学们
txma 条形码
txmc 天下没有白吃的午餐
txmf 同学们
txmx 天下没有不散的筵席
txp 贪小便宜
txpy 贪小便宜
txq 偷香窃玉
txqy 偷香窃玉
txr 推贤让能
txrn 推贤让能
txrr 天下攘攘
txt TXT
txtd 同心同德
txtf 掏心掏肺
txtp 天下太平
txtx 同喜同喜
txu 通讯社
txud 贪小失大
txue 通讯社
txv 通行证
txvf 推心置腹
txvg 通行证
txw 铜臭味
txwd 天下无敌
txwg 天下为公
txwh 天下乌鸦一般黑
txwm 童心未泯
txwu 天下无双
txww 铜臭味
txwx 天下无不散之筵席
txx 挑衅性
txxi 同性相斥
txxk 挑衅性
txxl 同心协力
txxw 天下兴亡
txxx 天下熙熙
txy 同心圆
txyr 谈笑有鸿儒
txyv 他乡遇故知
txyx 提醒一下
txz 谈笑自若
txzo 天蝎座
txzr 谈笑自若
ty 统一
tya 屯
tyat 鲀
tyav 屯
tyb 退一步
tybh 头也不回
tybk 吞并
tybu 臀部
tyby 天有不测风云
tyc 头一次
tyci 同义词
tycl 太阳从西边出来
tyd 吞掉
tydd 天摇地动
tydl 体育锻炼
tydn 吞掉
tye 脱颖而出
tyei 脱颖而出
tyf 吞服
tyfg 田园风光
tyfu 吞服
tyg 同一个
tyge 同一个
tygh 同业公会
tygn 特异功能
tygr 体育馆
tyh 头一回
tyhc 天涯何处无芳草
tyhj 天涯海角
tyho 囤货
tyhv 头一回
tyhz 焞
tyi 体育场
tyih 体育场
tyii 吞吃
tyj 囤积
tyjb 吞进
tyjc 添油加醋
tyjh 土洋结合
tyji 囤积
tyjk 添衣加裤
tyjw 腾云驾雾
tyjy 桃园结义
tyk 囤
tykt 囤
tyl 同意了
tyle 吞了
tym 吞没
tymg 田园牧歌
tymo 吞没
tymp 吞灭
tymx 头晕目眩
tymy 甜言蜜语
tyn 太阳能
tyng 太阳能
tynw 天意难违
tyo 豚
tyou 豚
tyow 暾
typ 拖油瓶
typd 糖衣炮弹
typk 拖油瓶
typz 褪
tyq 徒有其表
tyqb 徒有其表
tyqm 徒有其名
tyr 天涯若比邻
tyrl 天涯若比邻
tyt 吞
tytk 吞
tytm 屯田
tytt 坉
tytu 吞吐
tytw 吞云吐雾
tyu 臀
tyui 吞噬
tyuj 同一时间
tyuo 臀
tyuq 同一时期
tyut 饨
tyv 童言稚语
tyvx 统一战线
tyvy 童言稚语
tyw 臀围
tywb 退一万步
tywf 天衣无缝
tywj 童言无忌
tywu 退一万步说
tyww 臀围
tyx 通用性
tyx/ 忳
tyxi 太阳系
tyxk 椭圆形
tyxm 徒有虚名
tyxr 天要下雨，娘要嫁人
tyxt 太阳穴
tyxw 跳跃性思维
tyxx 吞下
tyxy 天要下雨
tyy 投影仪
tyyi 投影仪
tyyj 吞咽
tyys 挺有意思
tyz 同音字
tyzi 同音字
tz 头 投资
tza 投案
tzan 投案
tzb 投标
tzbc 投保 兔子不吃窝边草
tzbf 投奔
tzbi 投币
tzbj 头版
tzbn 投标
tzbu 头部
tzc 头次
tzcd 头彩
tzci 头次
tzcy 头寸
tzd 头大
tzda 头大
tzdc 偷盗
tzdd 头戴
tzdg 头等
tzdh 投档
tzdi 投递
tzdj 投弹
tzdk 头顶
tzdu 偷渡 天造地设
tzf 投
tzfa 头发
tzfg 透风
tzfh 投放
tzfn 徒增烦恼
tzfy 投
tzg 骰
tzgc 投稿
tzgl 透光
tzgo 透过
tzgs 天姿国色
tzgu 头骨
tzgy 骰
tzh 头昏
tzhc 头号
tzhe 投河
tzhh 投行
tzhl 投资回报率
tzhr 偷欢
tzhy 头昏
tzi 透彻
tzie 透彻
tzig 投诚
tzii 偷吃
tzij 投产
tziz 头筹
tzj 投机
tzjb 头巾
tzji 投机
tzjk 头颈
tzjn 头角
tzjx 天子脚下
tzk 偷窥
tzkc 投靠
tzkj 偷看
tzks 偷空
tzkv 头盔
tzl 透露
tzlj 偷懒
tzlk 头领
tzll 透亮
tzlm 头脸
tzlp 偷猎
tzlu 透露
tzm 透明
tzmk 透明
tzmm 头面
tzmu 头目
tzn 头脑
tznc 头脑
tznu 天作孽犹可恕
tznw 天作孽犹可违
tzp 投票
tzpd 偷拍
tzpi 头皮
tzpk 投屏
tzpn 投票
tzq 透气
tzqc 天纵其才
tzqi 透气
tzqk 偷情
tzqp 偷窃
tzqq 头球
tzqu 偷取
tzr 偷
tzrd 偷
tzrf 偷人
tzrh 天灾人祸
tzru 投入
tzs 投诉
tzss 投送
tzsu 投诉
tzt 头痛
tztc 头套
tztd 投胎
tztg 头疼
tztk 偷听
tztm 头天
tztn 头条
tzto 头陀
tzts 头痛
tztz 偷偷
tzu 头上
tzue 投射
tzuf 投身
tzug 偷生
tzuh 头上
tzui 透视
tzuv 偷税
tzuz 投手
tzv 投资者
tzvc 天纵之才
tzve 透着
tzvh 天作之合
tzvi 透支
tzvu 投注
tzw 头尾
tzwf 贪赃枉法
tzww 头尾
tzx 投降
tzxi 偷袭
tzxl 头像
tzxm 头衔
tzxn 偷笑
tzxp 头屑
tzxt 偷学
tzxu 头绪
tzy 替罪羊
tzyc 投药
tzyh 投资银行
tzyk 投影
tzyr 投缘
tzyy 头晕
tzyz 头油
tzz 透
tzzi 投资
tzzn 透
tzzv 偷嘴
tzzz 偷走
u 是 时
ua 啥
uab 痧
uabc 沙包
uabd 煞白
uabi 傻逼
uabu 纱布
uac 莎
uacu 莎
uad 沙
uad/ 挲
uada 鲨
uadd 沙袋
uadg 傻等
uadh 煞
uadi 杀敌
uadj 傻蛋
uadn 杀掉
uadp 杀跌
uadu 杀毒
uady 裟
uaf 沙发
uafa 沙发
uag 傻瓜
uagl 杀光
uago 砂锅
uagx 傻瓜
uah 杀害
uahd 杀害
uahl 沙皇
uahx 傻话
uai 厦
uaie 刹车
uaif 沙尘
uaih 沙场
uail 纱窗
uais 杀虫
uaiu 杀出
uaiw 厦
uaj 铩
uajb 纱巾
uaji 杀鸡
uajl 沙姜
uajm 铩
uajt 杀绝
uajx 杀价
uajy 杀菌
uak 嗄
uakk 啥
uakn 唼
uakw 嗄
ual 傻了
uala 沙拉
uale 杀了
uali 砂砾
uals 沙龙
ualu 杀戮
ualy 砂轮
ualz 沙漏
uam 杉
uamc 傻帽
uami 沙弥
uamo 沙漠
uamp 杀灭
uap 沙盘
uapj 沙盘
uaq 歃
uaqi 杀气
uaqk 杀青
uaqq 沙丘
uaqr 歃
uar 傻
uarf 杀人
uaru 杀入
uarw 傻
uas 纱
uasi 杀死
uasu 纱
uat 沙滩
uate 沙特
uath 砂糖
uatj 沙滩
uatu 沙土
uatz 杀头
uau 砂
uaua 傻傻
uauf 杀神
uaug 杀生
uauh 杀伤
uaui 啥事
uauu 砂
uauz 杀手
uav 杀猪
uavi 砂纸
uavu 杀猪
uavz 沙洲
uaw 少安毋躁
uawz 少安毋躁
uax 杀
uaxd 刹
uaxk 煞星
uaxm 杀
uaxn 傻笑
uay 霎
uaya 沙哑
uayh 啥样
uayi 杀意
uayj 傻眼
uayn 霎
uays 啥用
uayu 鲨鱼
uaz 傻子
uazi 傻子
ub 顺便
ubb 上半部分
ubbf 上半部分
ubbx 誓不罢休
ubby 十八般武艺
ubbz 上半辈子
ubc 恕不从命
ubcm 恕不从命
ubd 说不定
ubdc 收不到
ubde 舍不得
ubdk 说不定
ubdl 山崩地裂 舍不得孩子套不住狼
ubdq 生不带来，死不带去
ubf 少部分
ubfc 十步芳草
ubff 少部分
ubfg 恕不奉告
ubfm 上兵伐谋
ubfp 恕不奉陪
ubfu 生不逢时
ubg 事半功倍
ubgb 事倍功半
ubgf 食不果腹
ubgj 事不关己
ubgq 说不过去 事必躬亲
ubgs 事不过三
ubgu 少不更事
ubgw 食不甘味
ubgx 善罢甘休
ubh 说不好
ubhc 说不好
ubhj 睡不好觉
ubhv 收不回
ubi 说不出
ubik 说不出口
ubil 说不出来
ubiu 说不出
ubj 社保局
ubjd 深不见底
ubjn 胜不骄，败不馁
ubjq 疏不间亲
ubjs 十八九岁
ubju 少不经事
ubk 社保卡
ubka 社保卡
ubkc 深不可测
ubkd 势不可挡
ubl 受不了
ubld 傻不愣登
uble 上班了
ublj 傻不拉叽
ubll 势不两立
ubln 受不了
ublq 神兵利器
ublu 稍不留神
ublv 树碑立传
ubm 说不明白
ubmb 说不明白
ubml 身败名裂
ubn 上半年
ubnm 上半年
ubnu 寿比南山 胜败乃兵家常事
ubq 说不清
ubqi 说不清楚
ubqk 说不清
ubqm 舍本求末
ubqu 上不去
ubqy 深表歉意
ubr 生不如死
ubrs 生不如死
ubs 十八岁
ubsr 士别三日
ubsv 十八岁
ubt 双胞胎
ubtd 双胞胎
ubtq 深表同情
ubu 是不是
ubua 傻不傻
ubuh 适不适合
ubui 时不时
ubuj 手不释卷
ubul 说不上来
ubum 失败是成功之母
ubuo 说不说
ubuu 数不胜数
ubux 实报实销
ubuz 手把手
ubv 睡不着
ubvc 睡不着
ubvd 谁不知道
ubvi 殊不知
ubvj 神不知鬼不觉
ubvm 舍本逐末
ubvt 上不着天
ubvv 山不转水转
ubvw 食不知味
ubvy 说不准
ubw 说不完
ubwd 时不我待
ubwj 说不完
ubwr 誓不为人
ubwy 时不我与
ubx 睡不醒
ubxh 谁不喜欢
ubxk 睡不醒
ubxm 实不相瞒
ubxy 食不下咽
uby 上半夜
ubye 上半夜
ubyh 深表遗憾
ubyi 事不宜迟
ubyj 身不由己
ubys 恕不远送
ubyt 生搬硬套
ubyx 食不厌精，脍不厌细
ubyy 是不一样
ubz 上辈子
ubzi 使绊子
ubzl 时不再来
uc 少
uca 恃才傲物
ucaw 恃才傲物
ucb 勺
ucbc 少报
ucbd 烧白
ucbk 烧饼
ucbl 深藏不露
ucbw 烧杯
ucc 苕
uccd 说曹操曹操到
ucck 苕
uccu 芍
ucd 邵
ucda 稍大
ucdc 烧到
ucdd 捎带
ucde 邵
ucdg 稍等
ucdk 召
ucdl 劭
ucdm 少点
ucdn 烧掉
ucdo 潲
ucdr 稍短
uce 少儿
ucee 烧鹅
ucer 少儿
ucf 捎
ucfj 烧饭
ucfo 捎
ucfu 少妇
ucfy 神采飞扬
ucg 鞘
ucgf 诗词歌赋
ucgj 稍感
ucgl 烧光
ucgo 烧锅
uch 稍
uchc 稍好
uchj 生存环境
uchl 烧荒
ucho 烧火
uchs 烧红
uchv 烧毁
uchw 烧
uchz 稍后
uci 稍差
ucia 稍差
ucig 烧成
ucih 稍长
ucii 少吃
ucj 收藏夹
ucji 烧鸡
ucjl 少将
ucjm 少见
ucjn 烧焦
ucjq 烧酒
ucjv 上层建筑
ucjx 稍加
uck 哨
uckc 烧烤
uckd 烧开
uckj 少看
ucko 哨
ucl 韶
uclb 少林
ucld 少来
ucle 少了
uclh 舌灿莲花
uclk 韶
ucll 少量
uclv 生存率
ucm 梢
ucmd 烧麦
ucmk 柖
ucmo 梢
ucmu 杓
ucn 守财奴
ucnj 少男
ucnl 生存能力
ucnm 少年
ucnu 守财奴
ucnv 少女
uco 睄
ucoo 睄
ucp 收藏品
ucpb 收藏品
ucq 烧钱
ucqm 烧钱
ucqu 捎去
ucqx 哨卡
ucr 烧肉
ucrx 深藏若虚
ucrz 烧肉
ucs 绍
ucsi 烧死
ucsk 绍
ucso 哨所
uct 少提
ucth 烧汤
ucti 少提
ucu 少数
ucuc 稍稍
ucuf 剩菜剩饭
ucug 哨声
ucuh 烧伤
ucui 少时
ucuj 韶山
ucuk 少帅
ucuo 少说
ucuu 少数
ucuv 烧水
ucv 艄
ucv/ 筲
ucvc 烧着
ucvd 生财之道
ucvi 烧制
ucvj 身残志坚
ucvl 少壮
ucvo 烧灼
ucw 稍微
ucwj 稍晚
ucwk 玿
ucww 稍微
ucx 少
ucxb 捎信
ucxi 稍息
ucxk 绍兴
ucxl 烧香
ucxm 稍显
ucxn 少校
ucxp 少些
ucxt 上蹿下跳
ucxu 少许
ucy 少于
ucya 烧鸭
ucyb 哨音
ucyc 芍药
ucyd 生财有道
ucye 少爷
ucyj 少言
ucyl 生存压力
ucyu 少于
ucyx 受此影响
ucyy 神采奕奕
ucyz 稍有
ucz 稍作
ucze 少则
uczi 勺子
uczo 稍作
uczz 少走
ud 晒
udb 啥都不会
udbh 啥都不会
udbi 手到病除
udbt 说的比唱的好听
udby 上帝保佑
udd 色
uddb 色
uddh 手动挡
uddi 说到底
uddv 说得对
uddx 说东道西
udf 水电费
udfu 士大夫
udfw 水电费
udfy 是敌非友
udg 十多个
udge 十多个
udgj 晒干
udgq 说得过去
udgu 树大根深
udgv 失道寡助
udh 说得好
udhc 说得好
udhl 瘆得慌
udhs 树倒猢狲散
udhw 晒黑
udi 筛查
udia 筛查
udih 晒场
udil 时代潮流
udj 圣诞节
udji 生旦净丑 鼠肚鸡肠
udjp 圣诞节
udju 水电局
udjx 声东击西
udk 筛糠
udkh 筛糠
udkl 圣诞快乐
udl 收到了
udlb 势单力薄
udle 上当了
udlg 势单力孤
udli 势大力沉
udln 受得了
udlr 圣诞老人
udlt 事到临头
udm 收到没
udmb 圣多美和普林西比
udmw 收到没
udn 十多年
udnj 蜀道难
udnm 十多年
udnt 蜀道难，难于上青天
udo 晒
udox 晒
udq 首当其冲
udqf 适得其反
udqi 水到渠成
udql 手到擒来
udqu 舐犊情深
udr 十多人
udrf 十多人
udrj 事到如今
udrx 世道人心
udt 手电筒
udtd 晒台
udti 识大体
udts 手电筒
udtt 上得厅堂
udtu 晒图
udu 山东省
uduc 是对是错
udud 晒晒
udug 山东省
uduh 上刀山，下火海
udui 水滴石穿
udup 上当受骗
uduu 胜读十年书
udux 时断时续
uduy 是敌是友
udv 筛
udvc 数得着
udvf 树大招风
udvj 闪电战
udw 数典忘祖
udwp 硕大无朋
udwz 数典忘祖
udx 筛选
udxi 世代相传
udxk 煽动性
udxm 升斗小民
udxr 筛选
udxx 生动形象
udy 酾
udyb 伤敌一千，自损八百
udyg 圣地亚哥
udyl 酾
udym 守得云开见月明
udyr 示敌以弱
udyu 书到用时方恨少
udz 书呆子
udzd 说到做到
udzi 色子
udzj 生当作人杰
udzy 师道尊严
ue 设
uea 涉案
uean 涉案
ueb 设备
uebc 社保
uebf 折本
uebh 食而不化
uebj 视而不见
uebl 疏而不漏
uebu 十恶不赦
uebw 设备
ueby 少儿不宜
ued 涉
uede 舍得
uedg 射灯
uedj 蛇胆
uedk 设定
uedm 十二点
uedn 射雕
uedo 奢
uedp 涉
uedu 蛇毒
uedy 滠
uee 𪨶
ueei 𪨶
uef 摄
uefa 设法
uefd 失而复得
ueff 十二分
uefh 设防
uefj 折
uefm 善恶分明
uefu 慑服
uefy 摄
ueg 麝
uegc 麝
uegf 舌根
uegs 社工
uegy 十二个月
uegz 赊购
ueh 社会
uehv 社会
uehx 奢华
uehy 摄魂
uei 蛇 厍
ueib 蛇
ueig 设成 射程
ueii 奢侈
ueil 十二重楼
ueiu 射出
uej 涉及
uejb 射进
ueji 设计
uejk 射精
uejm 射箭
uejn 社交
ueju 设局
uek 赊
uekx 赊
uel 设立
ueli 设立
uelp 涉猎
uelu 摄录
uely 社论
uem 阇
uemf 射门
uemi 奢靡
uemk 舍命
uemm 赦免
uemo 阇
uep 社
uepb 射频
uepd 生而平等
uepi 蛇皮
uepk 社评
uept 社
ueq 舌
ueqi 舍弃
ueqk 猞
ueqm 赊欠
ueqq 奢求
uequ 社区
ueqx 设卡
ueqy 社群
uer 舍
uer/ 畬
uerk 舍
uero 设若
uerr 歙
uert 畲
ueru 摄入
uerx 佘
ues 十二岁
uesi 射死
uess 十二三岁
uesu 涉诉
uesv 十二岁
uet 赦
uetd 舌苔
uetj 奢谈
uetr 社团
uetv 蛇蜕
uetw 赦
uetz 舌头
ueu 射
ueua 射杀
ueuc 射
ueuf 舍身
ueui 设施
ueuv 涉水
ueuz 射手
uev 赊账
uevg 摄政
uevh 社长
uevi 设置
uevj 舌战
uevs 射中
uevv 生而知之
uew 奢望
uewd 涉外
uewf 舌吻
uewh 奢望
ueww 设为
uex 慑
uexk 蛇形
uexl 摄像 设想
uexm 涉嫌
uexn 赊销
uexp 蛇蝎
uexx 设下
uexy 慑
uey 十二月
ueyf 十二月份
ueyj 设宴
ueyk 摄影
ueyn 生儿育女
ueyr 社员
ueyt 十二月
ueyy 设
ueyz 舍友
uez 涉足
uezu 涉足
uf 深 束缚
ufa 鲹
ufai 深爱
ufan 深谙
ufao 深奥
ufap 鲹
ufb 审
ufbc 申报
ufbg 是福不是祸，是祸躲不过
ufbj 申办 尚方宝剑
ufbk 肾病
ufbm 身边
ufbn 深表
ufbp 瘆
ufbs 伤风败俗
ufbu 审
ufc 莘
ufcd 身材 神采
ufcg 深层
ufch 深藏
ufcj 身残
ufcu 莘
ufcv 葚
ufd 沈
ufda 甚大
ufdc 伸到
ufdh 煽风点火
ufdk 审定
ufdm 神殿
ufdp 渗
ufdr 身段
ufdu 深度
ufdv 沈
ufdx 师范大学
ufdy 深蹲
ufe 顺风耳
ufee 屾
ufer 甚而
uff 身份
uffa 身法
ufff 身份
uffm 赏罚分明
uffo 神佛
uffu 神父
ufg 身高
ufgc 身高
ufgd 杀伐果断
ufgf 申根
ufgg 深耕 是非功过
ufgj 深感
ufgk 神怪
ufgl 深广
ufgs 神功
ufgu 身故
ufgv 深闺
ufgy 神棍
ufgz 申购
ufh 深化
ufhb 是非黑白
ufhc 甚好
ufhd 深海
ufhe 审核
ufhk 身怀
ufhl 深黄
ufhm 燊
ufho 甚或
ufhr 身患
ufhs 深红
ufhu 深沪
ufhv 深灰
ufhx 神话
ufhy 神魂
ufhz 身后
ufi 蜃
ufia 审查
ufif 深沉
ufih 伸长
ufii 申斥
ufir 身穿
ufiu 深处 伸出
ufiz 深仇
ufj 煞风景
ufjb 伸进
ufjd 杀伐决断
ufji 审计
ufjj 删繁就简
ufjk 神经
ufjm 神剑
ufjn 深交
ufjp 审结 杀富济贫
ufjq 深究
ufju 𬬹
ufjw 上房揭瓦
ufjx 身价
ufjy 说风就是雨
ufk 哂
ufkd 伸开
ufke 深刻
ufkg 深坑
ufkj 神龛
ufks 深恐
ufku 呻
ufkv 肾亏
ufkx 煞费苦心
ufl 申 说服力
uflh 说风凉话
ufli 审理
uflj 深蓝
uflk 神灵
ufll 身量
uflm 师傅领进门
ufln 神聊
uflo 肾
uflr 师傅领进门，修行靠个人
ufls 神龙
uflv 深绿
ufm 糁
ufm/ 𬳽 棽
ufmd 深埋
ufme 什么
ufmi 神秘
ufmk 申明
ufmn 神庙
ufmo 神魔
ufmp 糁
ufmv 椹
ufmw 审美
ufn 婶
ufnl 婶娘
ufnn 娠
ufns 神农
ufnu 婶
ufnv 神女
ufo 胂
ufou 瞫
ufp 身
ufph 身旁
ufpi 审批
ufpj 审判
ufpk 审评
ufpp 身
ufpu 神
ufq 甚
ufqh 适逢其会
ufqi 神奇
ufqk 申请 神情
ufqm 深浅
ufqp 深切
ufqq 深秋
ufqr 神权
ufqu 身躯
ufqv 是非曲直
ufr 什 伸
ufre 侁
ufrf 瘆人
ufru 深入
ufrx 世风日下
ufs 参 绅
ufse 深色 神色
ufsi 深思
ufso 伸缩
ufsp 参
ufsr 神算
ufsu 申诉
ufsv 深邃
uft 神坛
uftc 深套
uftd 神态
ufti 身体
uftj 神探
ufts 神童
uftv 伸腿
uftz 渗透
ufu 砷
ufu/ 甡
ufud 收复失地
ufue 神社
ufuf 深深
ufug 神圣
ufuh 身上
ufui 绅士
ufuj 深山
uful 矧
ufuu 申述 顺风顺水
ufuv 深水
ufuz 伸手
ufv 身份证
ufvd 是非之地
ufvf 深圳
ufvg 身份证
ufvh 伸张
ufvi 甚至
ufvj 伸展
ufvk 是非只为多开口
ufvo 身着
ufvr 身负重任
ufvs 慎重
ufvw 深孚众望
ufvy 十分之一
ufvz 神州
ufw 珅
ufwf 审问
ufwh 身亡
ufwu 神武
ufwv 胜负未知
ufww 身为
ufx 慎
ufxb 身心
ufxk 身形
ufxl 神像
ufxm 神仙
ufxn 神效
ufxr 慎选
ufxt 神学
ufxu 肾虚
ufxx 师范学校
ufxy 审讯 师范学院
ufy 谂
ufy/ 诜
ufyb 呻吟
ufye 深夜
ufyh 沈阳
ufyi 审议
ufyj 审验
ufyk 身影
ufyr 深渊 深远
ufys 慎用
ufyt 审阅
ufyu 甚于
ufyv 谌
ufyx 收发由心
ufyy 神韵
ufyz 神游
ufz 身姿
ufzc 深造
ufzd 身在
ufzh 肾脏
ufzi 身子
ug 生 省
ugb 生病
ugbd 胜败
ugbh 食古不化
ugbk 生病
ugbm 生变
ugbo 声波
ugbu 声部
ugby 深更半夜
ugc 剩菜
ugcd 生菜
ugci 生词
ugcy 生存
ugd 渑
ugda 盛大
ugdc 声道
ugdd 声带
ugde 省得
ugdg 闪光灯
ugdi 圣地
ugdj 圣诞
ugdm 省电
ugdn 声调
ugdp 升跌
ugds 生动
ugdw 施工单位
uge 嵊
ugeg 善贾而沽
ugen 圣恩
uget 陞
ugf 升幅
ugfa 生发
ugfc 升官发财
ugff 省份
ugfh 盛放
ugfj 剩饭
ugfu 胜负
ugfy 生根发芽
ugg 升官
uggc 升高
ugge 升格
uggf 生根
uggo 胜过
uggr 升官
uggz 山沟沟
ugh 生化
ughc 生蚝
ughj 睡个好觉
ugho 生活
ughr 生还
ughv 省会 盛会
ughx 升华
